recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration
9,0,0,0,57.22822,-36.71047,287.34648,1.84191,4.37364,1.36315,-3.62557,1.42295,-0.64771,3.86710,-0.22019,1.04250,-1.16512
9,0,1,1,57.28363,-36.85544,287.80186,1.84191,4.37364,1.42512,-3.65831,1.44798,-0.65079,3.91884,-0.23845,1.06231,-1.17969
9,0,2,2,57.34239,-37.00299,288.28471,1.84191,4.37364,1.48786,-3.69089,1.46807,-0.64718,3.97133,-0.25476,1.07509,-1.19090
9,0,3,3,57.40404,-37.15262,288.79733,1.84191,4.37364,1.55102,-3.72273,1.48353,-0.63731,4.02395,-0.26875,1.08135,-1.19905
9,0,4,4,57.46832,-37.30417,289.33377,1.84191,4.37364,1.61437,-3.75333,1.49477,-0.62192,4.07613,-0.28071,1.08172,-1.20457
9,0,5,5,57.53509,-37.45741,289.88417,1.84191,4.37364,1.67777,-3.78226,1.50219,-0.60195,4.12742,-0.29133,1.07699,-1.20790
9,0,6,6,57.60438,-37.61159,290.44506,1.84191,4.37364,1.74109,-3.80944,1.50620,-0.57839,4.17765,-0.30074,1.06809,-1.20928
9,0,7,7,57.67573,-37.76667,291.00961,1.84191,4.37364,1.80436,-3.83478,1.50709,-0.55219,4.22675,-0.30954,1.05581,-1.20892
9,0,8,8,57.74985,-37.92289,291.58500,1.84191,4.37364,1.86737,-3.85811,1.50510,-0.52426,4.27452,-0.31709,1.04119,-1.20668
9,0,9,9,57.82611,-38.07991,292.16345,1.84191,4.37364,1.93015,-3.87942,1.50046,-0.49554,4.32092,-0.32402,1.02497,-1.20265
9,0,10,10,57.90481,-38.23780,292.75538,1.84191,4.37364,1.99263,-3.89865,1.49329,-0.46695,4.36594,-0.32955,1.00821,-1.19645
9,0,11,11,57.98587,-38.39642,293.35435,1.84191,4.37364,2.05476,-3.91582,1.48370,-0.43941,4.40954,-0.33412,0.99157,-1.18795
9,0,12,12,58.06951,-38.55528,293.95842,1.84191,4.37364,2.11640,-3.93113,1.47176,-0.41375,4.45184,-0.33773,0.97574,-1.17694
9,0,13,13,58.15551,-38.71447,294.56545,1.84191,4.37364,2.17750,-3.94477,1.45755,-0.39068,4.49298,-0.34044,0.96127,-1.16321
9,0,14,14,58.24374,-38.87388,295.18078,1.84191,4.37364,2.23804,-3.95697,1.44112,-0.37078,4.53317,-0.34177,0.94871,-1.14641
9,0,15,15,58.33410,-39.03358,295.79749,1.84191,4.37364,2.29806,-3.96792,1.42238,-0.35453,4.57257,-0.34222,0.93821,-1.12633
9,0,16,16,58.42727,-39.19322,296.42505,1.84191,4.37364,2.35728,-3.97797,1.40129,-0.34229,4.61139,-0.34068,0.93014,-1.10255
9,0,17,17,58.52313,-39.35276,297.05842,1.84191,4.37364,2.41547,-3.98747,1.37797,-0.33421,4.64981,-0.33719,0.92447,-1.07511
9,0,18,18,58.62187,-39.51210,297.69114,1.84191,4.37364,2.47233,-3.99681,1.35271,-0.33025,4.68794,-0.33182,0.92104,-1.04431
9,0,19,19,58.72316,-39.67127,298.30409,1.84191,4.37364,2.52765,-4.00639,1.32598,-0.33011,4.72589,-0.32582,0.91936,-1.01093
9,0,20,20,58.82700,-39.83052,298.89993,1.84191,4.37364,2.58123,-4.01646,1.29836,-0.33336,4.76373,-0.31870,0.91932,-0.97557
9,0,21,21,58.93249,-39.99024,299.47433,1.84191,4.37364,2.63323,-4.02715,1.27044,-0.33949,4.80158,-0.31094,0.92065,-0.93898
9,0,22,22,59.04036,-40.14999,300.03544,1.84191,4.37364,2.68350,-4.03872,1.24277,-0.34795,4.83957,-0.30163,0.92328,-0.90172
9,0,23,23,59.15010,-40.31032,300.58460,1.84191,4.37364,2.73210,-4.05124,1.21592,-0.35812,4.87774,-0.29070,0.92697,-0.86455
9,0,24,24,59.26154,-40.47149,301.12096,1.84191,4.37364,2.77916,-4.06462,1.19042,-0.36945,4.91603,-0.27839,0.93154,-0.82814
9,0,25,25,59.37383,-40.63355,301.64110,1.84191,4.37364,2.82512,-4.07879,1.16654,-0.38157,4.95453,-0.26545,0.93681,-0.79296
9,0,26,26,59.48769,-40.79608,302.13436,1.84191,4.37364,2.87016,-4.09381,1.14429,-0.39411,4.99331,-0.25294,0.94238,-0.75936
9,0,27,27,59.60370,-40.95960,302.58828,1.84191,4.37364,2.91420,-4.10955,1.12372,-0.40677,5.03214,-0.24199,0.94797,-0.72772
9,0,28,28,59.72120,-41.12363,303.01372,1.84191,4.37364,2.95740,-4.12608,1.10489,-0.41933,5.07119,-0.23184,0.95361,-0.69803
9,0,29,29,59.84077,-41.28832,303.41166,1.84191,4.37364,2.99969,-4.14337,1.08790,-0.43149,5.11040,-0.22239,0.95923,-0.67050
9,0,30,30,59.96236,-41.45343,303.78716,1.84191,4.37364,3.04100,-4.16155,1.07295,-0.44294,5.14983,-0.21313,0.96481,-0.64542
9,0,31,31,60.08554,-41.61900,304.14930,1.84191,4.37364,3.08145,-4.18068,1.06034,-0.45322,5.18961,-0.20331,0.97030,-0.62310
9,0,32,32,60.21080,-41.78532,304.49194,1.84191,4.37364,3.12093,-4.20073,1.05043,-0.46183,5.22962,-0.19346,0.97549,-0.60424
9,0,33,33,60.33696,-41.95287,304.82850,1.84191,4.37364,3.15982,-4.22146,1.04355,-0.46836,5.26990,-0.18282,0.98045,-0.58912
